Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Djibouti,0,0,1,1,1,0,0,0,0,0,0,1,3,5,3,28,12,21,14,17,10,9,4,26,21,32,26,46,37,318
Egypt,86,108,133,108,92,125,150,214,116,141,95,79,112,108,118,126,116,151,386,323,297,439,695,1036,593,726,918,566,700,8857
Eswatini,5,5,13,16,5,3,2,7,10,9,23,11,19,59,18,17,10,19,22,22,22,7,7,26,9,16,12,7,8,409
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,4,6,6,4,3,9,11,13,6,10,8,5,35,130
Guinea-Bissau,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,7,7,27
Lesotho,8,7,11,22,20,10,4,4,4,3,3,2,2,5,3,1,1,1,1,2,3,5,6,1,4,4,4,11,7,159
Libya,119,129,132,99,44,58,22,12,41,78,20,47,64,22,68,42,37,36,66,72,163,63,191,235,197,214,175,212,281,2939
Mali,14,14,15,16,16,16,12,13,19,13,19,21,30,41,18,18,15,34,31,32,68,50,24,30,24,47,55,49,87,841
Mauritania,0,0,1,1,1,0,0,0,3,0,0,10,9,9,13,12,4,2,4,5,4,5,5,10,7,12,13,16,100,246
Mauritius,1,1,1,2,2,1,1,2,2,3,6,3,10,14,6,7,8,7,7,10,6,13,12,18,14,11,17,28,28,241
Morocco,360,335,384,343,365,335,377,452,460,444,586,566,629,556,509,494,557,602,543,670,582,573,738,721,630,662,680,706,917,15776
Mozambique,0,1,0,0,0,1,1,1,1,2,5,0,1,0,2,2,2,4,6,4,4,6,3,7,11,8,13,16,7,108
Namibia,0,1,1,0,0,1,2,39,29,19,21,17,16,20,41,36,36,22,22,58,50,47,26,31,38,53,30,43,24,723
Niger,2,1,1,9,6,9,5,10,11,7,9,11,17,10,13,11,21,29,26,28,13,19,18,24,24,25,12,11,9,391
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,63,53,55,34,10,20,11,27,33,36,34,39,41,57,35,46,50,44,40,54,33,43,41,50,58,84,157,161,153,1562
Seychelles,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,10,9,13,2,1,1,2,4,4,4,4,68
Somalia,8,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,1,2,0,0,1,2,2,0,2,1,1,2,32
"South Africa, Rep.of",286,282,338,403,345,324,328,323,351,334,413,337,370,402,436,477,567,465,574,417,593,573,542,546,635,693,644,712,756,13466
Sudan,56,130,103,70,72,80,107,100,136,161,129,178,224,119,390,399,363,501,579,565,660,572,412,796,690,594,641,305,705,9837
