Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,544,552,535,510,533,503,8705
Liberia,3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,10,12,16,7,245
Mexico,4674,4727,3401,5023,4159,5300,5110,4802,4801,6219,4815,4438,4351,4201,3867,4225,4200,4150,4651,4109,4001,4561,4327,3916,3636,2772,3635,4485,4351,126908
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,3,2,1,1,2,2,1,2,1,25
Nicaragua,461,707,547,706,683,985,793,1084,1073,1554,1572,1079,1170,1509,1068,1432,1428,1906,1445,1871,1638,2193,1873,2060,1898,2130,2555,2617,2510,42548
Nigeria,29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,41,43,42,42,1324
Panama,215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,120,105,130,4573
Sierra Leone,43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,38,38,31,1399
Sri Lanka,96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,37,37,36,1192
Thailand,757,1469,1255,1275,1399,1317,1404,1293,916,1273,1692,715,732,827,884,1064,822,650,675,795,828,831,608,638,845,762,538,638,482,27384
Togo,161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,23,115,74,4669
Trinidad & Tobago,15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12,12,418
Uganda,1955,2088,2185,3142,2393,3244,3419,3440,3386,2862,3401,3158,2890,2599,2613,2175,2894,3490,3335,2894,3267,3115,3914,3633,3744,3650,4962,4597,4704,93146
Venezuela,1122,941,1215,1333,989,1467,1206,951,1597,1367,1450,1265,1484,1421,1327,1506,1571,1520,932,1214,1202,902,952,804,650,500,525,572,525,32510
Viet Nam,1310,1438,2340,3020,3632,3970,5752,6979,7052,11631,14841,13093,11574,15337,14370,13842,19340,16405,18438,17825,20000,26500,23402,27610,26500,28737,25540,27888,31174,439541
Yemen,0,0,0,0,0,0,0,0,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,178,156,143,132,106,3112
